"REF_DATE","GEO","DGUID","Fertilizer product type","Period","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010/2011","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471063","1.1.2","2220","","","","0"
"2010/2011","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471072","1.1.3","3512","","","","0"
"2010/2011","Canada","2016A000011124","Ammonia (NH3) 82-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471081","1.1.4","4683","","","","0"
"2010/2011","Canada","2016A000011124","Urea (gross) 46-0-0","July to September","Metric tonnes","214","thousands","3","v52471055","1.2.1","870","","","","0"
"2010/2011","Canada","2016A000011124","Urea (gross) 46-0-0","July to December","Metric tonnes","214","thousands","3","v52471064","1.2.2","1768","","","","0"
"2010/2011","Canada","2016A000011124","Urea (gross) 46-0-0","July to March","Metric tonnes","214","thousands","3","v52471073","1.2.3","2708","","","","0"
"2010/2011","Canada","2016A000011124","Urea (gross) 46-0-0","July to June","Metric tonnes","214","thousands","3","v52471082","1.2.4","3636","","","","0"
"2010/2011","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471056","1.3.1","234","","","","0"
"2010/2011","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471065","1.3.2","598","","","","0"
"2010/2011","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471074","1.3.3","916","","","","0"
"2010/2011","Canada","2016A000011124","Urea ammonium nitrate (UAN) 28-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471083","1.3.4","1210","","","","0"
"2010/2011","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to September","Metric tonnes","214","thousands","3","v52471057","1.4.1","16","","","","0"
"2010/2011","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to December","Metric tonnes","214","thousands","3","v52471066","1.4.2","","x","","","0"
"2010/2011","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to March","Metric tonnes","214","thousands","3","v52471075","1.4.3","","x","","","0"
"2010/2011","Canada","2016A000011124","Ammonium nitrate/calcium ammonium nitrate (AN/CAN) 34-0-0-0","July to June","Metric tonnes","214","thousands","3","v52471084","1.4.4","","x","","","0"
"2010/2011","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to September","Metric tonnes","214","thousands","3","v52471058","1.5.1","191","","","","0"
"2010/2011","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to December","Metric tonnes","214","thousands","3","v52471067","1.5.2","416","","","","0"
"2010/2011","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to March","Metric tonnes","214","thousands","3","v52471076","1.5.3","696","","","","0"
"2010/2011","Canada","2016A000011124","Ammonium sulphate (AS) 20-0-0-24","July to June","Metric tonnes","214","thousands","3","v52471085","1.5.4","926","","","","0"
"2010/2011","Canada","2016A000011124","Monoammonium phosphate (MAP) 11-52-0","July to September","Metric tonnes","214","thousands","3","v52471059","1.6.1","","x","","","0"
"2010/2011","Canada","2016A000011124","Monoammonium phosphate (MAP) 11-52-0","July to December","Metric tonnes","214","thousands","3","v52471068","1.6.2","","x","","","0"
"2010/2011","Canada","2016A000011124","Monoammonium phosphate (MAP) 11-52-0","July to March","Metric tonnes","214","thousands","3","v52471077","1.6.3","","x","","","0"
"2010/2011","Canada","2016A000011124","Monoammonium phosphate (MAP) 11-52-0","July to June","Metric tonnes","214","thousands","3","v52471086","1.6.4","","x","","","0"
"2010/2011","Canada","2016A000011124","Diammonium phosphate (DAP) 18-46-0","July to September","Metric tonnes","214","thousands","3","v52471060","1.7.1","0","","","","0"
"2010/2011","Canada","2016A000011124","Diammonium phosphate (DAP) 18-46-0","July to December","Metric tonnes","214","thousands","3","v52471069","1.7.2","0","","","","0"
"2010/2011","Canada","2016A000011124","Diammonium phosphate (DAP) 18-46-0","July to March","Metric tonnes","214","thousands","3","v52471078","1.7.3","0","","","","0"
